PIN,Line#,Ngrhd,TypeDescr,MethodDescr,Acres,SqrFt,ActFrnt,EffFrnt,EffDpth,Cat,Value,ValMethod,SoilID,SiteRating,LandUnit,System,lrsn
F00000220620,1,30140,Primary Commercial/Indust,31  Per Effective Front F,0.344,15000,75,75,200,22,43725,Cost,,AV,AC,PV,339
F3540002000I,1,30140,Primary Commercial/Indust,29  Per Square Foot (brea,3.39,147668,0,0,0,22,155848,Cost,,G,AC,PV,124
P18100020020,1,10040,Primary Commercial/Indust,33  Per Acre (by site rat,0.413,18000,60,60,300,22,5453,Cost,,F,AC,PV,4173
F00000221830,1,30140,Primary Commercial/Indust,29  Per Square Foot (brea,10.123,440959,0,0,0,22,227574,Cost,,F,AC,PV,416
F00000227820,1,51020,Primary Commercial/Indust,33  Per Acre (by site rat,41.357,1801511,0,0,0,22,905718,Cost,,G,AC,PV,447
P18100030000,1,10040,Primary Commercial/Indust,33  Per Acre (by site rat,1.57,0,0,0,0,22,12717,Cost,,F,AC,PV,4175
F00000221990,1,30140,Primary Commercial/Indust,29  Per Square Foot (brea,2.27,98881,0,0,0,22,137044,Cost,,F,AC,PV,415
F00000220630,1,30140,Primary Commercial/Indust,29  Per Square Foot (brea,6.73,293159,0,0,0,22,194163,Cost,,F,AC,PV,345
P00000040250,1,10040,Primary Commercial/Indust,33  Per Acre (by site rat,0.97,42253,0,0,0,22,10686,Cost,,AV,AC,PV,52
P1460002004A,1,10050,Primary Commercial/Indust,31  Per Effective Front F,0.1309,5700,60,60,95,21,7873,Cost,,VP,AC,PV,3012
F32910010050,1,30140,Primary Commercial/Indust,29  Per Square Foot (brea,0.69,30050,145,145,207,21,95564,Cost,,F,AC,PV,703348
N5480002010B,1,50050,Primary Commercial/Indust,31  Per Effective Front F,0.21,9148,91.42,99,100,21,14306,Cost,,F,AC,PV,1869
P1370010000H,1,10040,City  Lot,29  Per Square Foot (brea,0.1377,6000,50,50,120,21,11447,Cost,,F,AC,PV,2923
F3540003000I,1,30140,Primary Commercial/Indust,31  Per Effective Front F,1.7348,75566,185.6,185,405,21,265938,Cost,,EX,AC,PV,106
F33000080060,1,30090,Primary Commercial/Indust,31  Per Effective Front F,0.08,3625,25,25,145,21,11994,Cost,,AV,AC,PV,1642
P1470006006A,1,10020,Primary Commercial/Indust,31  Per Effective Front F,0,0,60,60,70,21,14256,Cost,,VG,AC,PV,3060
P1200014000B,1,10049,Primary Commercial/Indust,33  Per Acre (by site rat,1.6,69696,0,0,0,21,10368,Cost,,F,AC,PV,804
P10490000020,1,10040,Primary Commercial/Indust,33  Per Acre (by site rat,2.555,111295.8,0,0,0,21,50589,Cost,,VG,AC,PV,20133
P1200001000F,2,10049,Primary Commercial/Indust,31  Per Effective Front F,0.111,4836,39,39,124,21,7986,Cost,,F,AC,PV,5137
F00000277960,1,30140,Primary Commercial/Indust,33  Per Acre (by site rat,1.53,66647,199,199,335,21,28567,Cost,,G,AC,PV,790
F3420001000E,1,30140,Primary Commercial/Indust,31  Per Effective Front F,4.4957,195833,430,383,500,21,189815,Cost,,F,AC,PV,704952
P1370011000A,1,10040,City  Lot,29  Per Square Foot (brea,0.1635,7120,40,40,178,20H,17546,Cost,,F,AC,PV,2924
F00000277840,1,30140,Primary Commercial/Indust,33  Per Acre (by site rat,3,130680,0,0,0,21,56013,Cost,,G,AC,PV,787
P00000330500,1,10030,Primary Commercial/Indust,33  Per Acre (by site rat,7.24,0,0,1658,190,21,19802,Cost,,AV,AC,PV,818
P1200014000C,1,10049,Primary Commercial/Indust,33  Per Acre (by site rat,1,43560,100,100,200,21,8100,Cost,,F,AC,PV,803
P11320000010,1,10040,Primary Commercial/Indust,31  Per Effective Front F,0.8994,39179,136.91,136.91,288.63,21,44359,Cost,,AV,AC,PV,702844
